"samuel_pickwick::lively";"samuel_pickwick::sensible"
"pickwick::beautiful";"pickwick::old"
"pickwick::beautiful";"pickwick::worthy"
"pickwick::beautiful";"pickwick::young"
"pickwick::loud";"pickwick::old"
"pickwick::loud";"pickwick::worthy"
"pickwick::loud";"pickwick::young"
"pickwick::old";"pickwick::worthy"
"pickwick::worthy";"pickwick::young"
"pickwick::young";"winkle::young"
"pickwick::happy";"pickwick::old"
"pickwick::happy";"pickwick::young"
"tupman::poor";"winkle::poor"
"arabella::expressive";"pickwick::expressive"
"emma::fat";"weller::fat"
"wardle::fat";"wardle::old"
"wardle::fat";"weller::fat"
"wardle::fat";"weller::old"
"wardle::old";"weller::fat"
"weller::fat";"weller::old"
"emily::young";"emma::young"
"emily::young";"weller::young"
"emma::young";"snodgrass::young"
"emma::young";"weller::young"
"emma::young";"winkle::young"
"snodgrass::young";"weller::young"
"weller::young";"winkle::young"
"jem::cold";"jem::old"
"gabriel_grub::old";"pickwick::old"
"gabriel_grub::difficult";"gabriel_grub::lonely"
"gabriel_grub::difficult";"gabriel_grub::old"
"gabriel_grub::lonely";"gabriel_grub::old"
"gabriel::little";"gabriel::old"
"gabriel_grub::afraid";"gabriel::afraid"
"gabriel_grub::evil";"gabriel::evil"
"ho::brilliant";"ho::lively"
"gabriel_grub::disturbed";"gabriel_grub::old"
"pickwick::warm";"sam::warm"
"pickwick::neat";"pickwick::young"
"pickwick::neat";"sam::neat"
"pickwick::neat";"sam::young"
"pickwick::young";"sam::neat"
"sam::neat";"sam::young"
"benjamin_allen::short";"benjamin_allen::young"
"ben::#-bad";"ben::good"
"ben::#-bad";"benjamin_allen::#-bad"
"ben::#-bad";"benjamin_allen::good"
"ben::#-bad";"bob_sawyer::#-bad"
"ben::#-bad";"bob_sawyer::good"
"ben::#-bad";"bob::#-bad"
"ben::#-bad";"bob::good"
"ben::good";"benjamin_allen::#-bad"
"ben::good";"benjamin_allen::good"
"ben::good";"bob_sawyer::#-bad"
"ben::good";"bob_sawyer::good"
"ben::good";"bob::#-bad"
"ben::good";"bob::good"
"benjamin_allen::#-bad";"benjamin_allen::good"
"benjamin_allen::#-bad";"bob_sawyer::#-bad"
"benjamin_allen::#-bad";"bob_sawyer::good"
"benjamin_allen::#-bad";"bob::#-bad"
"benjamin_allen::#-bad";"bob::good"
"benjamin_allen::good";"bob_sawyer::#-bad"
"benjamin_allen::good";"bob_sawyer::good"
"benjamin_allen::good";"bob::#-bad"
"benjamin_allen::good";"bob::good"
"bob_sawyer::#-bad";"bob_sawyer::good"
"bob_sawyer::#-bad";"bob::#-bad"
"bob_sawyer::#-bad";"bob::good"
"bob_sawyer::good";"bob::#-bad"
"bob_sawyer::good";"bob::good"
"bob::#-bad";"bob::good"
"pickwick::good";"pickwick::young"
"pickwick::good";"winkle::young"
"pickwick::young";"winkle::good"
"winkle::good";"winkle::young"
"wardle::agreeable";"wardle::strong"
"sam::awkward";"winkle::awkward"
"pickwick::forward";"sam::forward"
"pickwick::forward";"winkle::forward"
"sam::forward";"weller::forward"
"sam::forward";"winkle::forward"
"weller::forward";"winkle::forward"
"pickwick::brilliant";"pickwick::fat"
"pickwick::brilliant";"weller::brilliant"
"pickwick::brilliant";"weller::fat"
"pickwick::fat";"weller::brilliant"
"weller::brilliant";"weller::fat"
"bob_sawyer::fat";"pickwick::fat"
"bob_sawyer::fat";"sam::fat"
"bob_sawyer::fat";"snodgrass::fat"
"bob_sawyer::fat";"wardle::fat"
"bob_sawyer::fat";"winkle::fat"
"pickwick::fat";"sam::fat"
"pickwick::fat";"snodgrass::fat"
"pickwick::fat";"wardle::fat"
"pickwick::fat";"winkle::fat"
"sam::fat";"snodgrass::fat"
"sam::fat";"wardle::fat"
"sam::fat";"winkle::fat"
"snodgrass::fat";"wardle::fat"
"snodgrass::fat";"winkle::fat"
"wardle::fat";"winkle::fat"
"pickwick::elderly";"pickwick::good"
"pickwick::elderly";"weller::elderly"
"pickwick::elderly";"weller::good"
"pickwick::good";"weller::elderly"
"weller::elderly";"weller::good"
"sam_weller::old";"tupman::old"
"bob_sawyer::patient";"pickwick::patient"
"benjamin_allen::old";"bob_sawyer::old"
"benjamin_allen::old";"george::old"
"benjamin_allen::old";"pickwick::old"
"bob_sawyer::old";"george::old"
"bob_sawyer::old";"pickwick::old"
"george::old";"pickwick::old"
"arabella_allen::open";"emily_wardle::open"
"arabella_allen::open";"snodgrass::open"
"arabella_allen::open";"winkle::open"
"emily_wardle::open";"snodgrass::open"
"emily_wardle::open";"winkle::open"
"snodgrass::open";"winkle::open"
"cornhill::old";"freeman::old"
"cornhill::old";"jackson::old"
"freeman::old";"jackson::old"
"pickwick::direct";"sun_court::direct"
"jackson::good";"pickwick::good"
"jackson::glad";"sam::glad"
"bardell::little";"pickwick::little"
"pickwick::remarkable";"sam::remarkable"
"sam::good";"walentine::good"
"wery::good";"wery::little"
"lowten::kind";"watty::kind"
"dodson::little";"fogg::little"
"pickwick::good";"serjeant_snubbin::good"
"perker::afraid";"pickwick::afraid"
"serjeant_snubbin::elderly";"serjeant_snubbin::little"
"mallard::busy";"perker::busy"
"perker::#-good";"perker::dangerous"
"perker::#-good";"pickwick::#-good"
"perker::#-good";"pickwick::dangerous"
"perker::dangerous";"pickwick::#-good"
"perker::dangerous";"pickwick::dangerous"
"pickwick::#-good";"pickwick::dangerous"
"mallard::great";"perker::great"
"serjeant_snubbin::great";"serjeant_snubbin::little"
"serjeant_snubbin::great";"serjeant_snubbin::old"
"serjeant_snubbin::great";"serjeant_snubbin::professional"
"serjeant_snubbin::little";"serjeant_snubbin::old"
"serjeant_snubbin::little";"serjeant_snubbin::professional"
"serjeant_snubbin::old";"serjeant_snubbin::professional"
"perker::anxious";"perker::clean"
"perker::anxious";"perker::conscientious"
"perker::anxious";"serjeant_snubbin::anxious"
"perker::anxious";"serjeant_snubbin::clean"
"perker::anxious";"serjeant_snubbin::conscientious"
"perker::clean";"perker::conscientious"
"perker::clean";"serjeant_snubbin::anxious"
"perker::clean";"serjeant_snubbin::clean"
"perker::clean";"serjeant_snubbin::conscientious"
"perker::conscientious";"serjeant_snubbin::anxious"
"perker::conscientious";"serjeant_snubbin::clean"
"perker::conscientious";"serjeant_snubbin::conscientious"
"serjeant_snubbin::anxious";"serjeant_snubbin::clean"
"serjeant_snubbin::anxious";"serjeant_snubbin::conscientious"
"serjeant_snubbin::clean";"serjeant_snubbin::conscientious"
"perker::extraordinary";"perker::great"
"mallard::natural";"mallard::nervous"
"mallard::natural";"phunky::natural"
"mallard::natural";"phunky::nervous"
"mallard::natural";"serjeant_snubbin::natural"
"mallard::natural";"serjeant_snubbin::nervous"
"mallard::nervous";"phunky::natural"
"mallard::nervous";"phunky::nervous"
"mallard::nervous";"serjeant_snubbin::natural"
"mallard::nervous";"serjeant_snubbin::nervous"
"phunky::natural";"phunky::nervous"
"phunky::natural";"serjeant_snubbin::natural"
"phunky::natural";"serjeant_snubbin::nervous"
"phunky::nervous";"serjeant_snubbin::natural"
"phunky::nervous";"serjeant_snubbin::nervous"
"serjeant_snubbin::natural";"serjeant_snubbin::nervous"
"mallard::courteous";"phunky::courteous"
"mallard::courteous";"serjeant_snubbin::courteous"
"phunky::courteous";"serjeant_snubbin::courteous"
"bob_sawyer::accomplished";"bob_sawyer::neglected"
"bob_sawyer::accomplished";"bob_sawyer::smart"
"bob_sawyer::accomplished";"bob_sawyer::violent"
"bob_sawyer::accomplished";"raddle::accomplished"
"bob_sawyer::accomplished";"raddle::neglected"
"bob_sawyer::accomplished";"raddle::smart"
"bob_sawyer::accomplished";"raddle::violent"
"bob_sawyer::accomplished";"sawyer::accomplished"
"bob_sawyer::accomplished";"sawyer::neglected"
"bob_sawyer::accomplished";"sawyer::smart"
"bob_sawyer::accomplished";"sawyer::violent"
"bob_sawyer::neglected";"bob_sawyer::smart"
"bob_sawyer::neglected";"bob_sawyer::violent"
"bob_sawyer::neglected";"raddle::accomplished"
"bob_sawyer::neglected";"raddle::neglected"
"bob_sawyer::neglected";"raddle::smart"
"bob_sawyer::neglected";"raddle::violent"
"bob_sawyer::neglected";"sawyer::accomplished"
"bob_sawyer::neglected";"sawyer::neglected"
"bob_sawyer::neglected";"sawyer::smart"
"bob_sawyer::neglected";"sawyer::violent"
"bob_sawyer::smart";"bob_sawyer::violent"
"bob_sawyer::smart";"raddle::accomplished"
"bob_sawyer::smart";"raddle::neglected"
"bob_sawyer::smart";"raddle::smart"
"bob_sawyer::smart";"raddle::violent"
"bob_sawyer::smart";"sawyer::accomplished"
"bob_sawyer::smart";"sawyer::neglected"
"bob_sawyer::smart";"sawyer::smart"
"bob_sawyer::smart";"sawyer::violent"
"bob_sawyer::violent";"raddle::accomplished"
"bob_sawyer::violent";"raddle::neglected"
"bob_sawyer::violent";"raddle::smart"
"bob_sawyer::violent";"raddle::violent"
"bob_sawyer::violent";"sawyer::accomplished"
"bob_sawyer::violent";"sawyer::neglected"
"bob_sawyer::violent";"sawyer::smart"
"bob_sawyer::violent";"sawyer::violent"
"raddle::accomplished";"raddle::neglected"
"raddle::accomplished";"raddle::smart"
"raddle::accomplished";"raddle::violent"
"raddle::accomplished";"sawyer::accomplished"
"raddle::accomplished";"sawyer::neglected"
"raddle::accomplished";"sawyer::smart"
"raddle::accomplished";"sawyer::violent"
"raddle::neglected";"raddle::smart"
"raddle::neglected";"raddle::violent"
"raddle::neglected";"sawyer::accomplished"
"raddle::neglected";"sawyer::neglected"
"raddle::neglected";"sawyer::smart"
"raddle::neglected";"sawyer::violent"
"raddle::smart";"raddle::violent"
"raddle::smart";"sawyer::accomplished"
"raddle::smart";"sawyer::neglected"
"raddle::smart";"sawyer::smart"
"raddle::smart";"sawyer::violent"
"raddle::violent";"sawyer::accomplished"
"raddle::violent";"sawyer::neglected"
"raddle::violent";"sawyer::smart"
"raddle::violent";"sawyer::violent"
"sawyer::accomplished";"sawyer::neglected"
"sawyer::accomplished";"sawyer::smart"
"sawyer::accomplished";"sawyer::violent"
"sawyer::neglected";"sawyer::smart"
"sawyer::neglected";"sawyer::violent"
"sawyer::smart";"sawyer::violent"
"bob_sawyer::little";"raddle::little"
"bob_sawyer::disappointed";"bob_sawyer::unlucky"
"benjamin_allen::poor";"benjamin_allen::unreasonable"
"pickwick::good";"slasher::good"
"betsy::good";"betsy::great"
"betsy::good";"betsy::little"
"betsy::good";"betsy::warm"
"betsy::good";"bob_sawyer::good"
"betsy::good";"bob_sawyer::great"
"betsy::good";"bob_sawyer::little"
"betsy::good";"bob_sawyer::warm"
"betsy::great";"betsy::little"
"betsy::great";"betsy::warm"
"betsy::great";"bob_sawyer::good"
"betsy::great";"bob_sawyer::great"
"betsy::great";"bob_sawyer::little"
"betsy::great";"bob_sawyer::warm"
"betsy::little";"betsy::warm"
"betsy::little";"bob_sawyer::good"
"betsy::little";"bob_sawyer::great"
"betsy::little";"bob_sawyer::little"
"betsy::little";"bob_sawyer::warm"
"betsy::warm";"bob_sawyer::good"
"betsy::warm";"bob_sawyer::great"
"betsy::warm";"bob_sawyer::little"
"betsy::warm";"bob_sawyer::warm"
"bob_sawyer::good";"bob_sawyer::great"
"bob_sawyer::good";"bob_sawyer::little"
"bob_sawyer::good";"bob_sawyer::warm"
"bob_sawyer::great";"bob_sawyer::little"
"bob_sawyer::great";"bob_sawyer::warm"
"bob_sawyer::little";"bob_sawyer::warm"
"gunter::afraid";"gunter::mean"
"gunter::afraid";"noddy::afraid"
"gunter::afraid";"noddy::mean"
"gunter::afraid";"sawyer::afraid"
"gunter::afraid";"sawyer::mean"
"gunter::mean";"noddy::afraid"
"gunter::mean";"noddy::mean"
"gunter::mean";"sawyer::afraid"
"gunter::mean";"sawyer::mean"
"noddy::afraid";"noddy::mean"
"noddy::afraid";"sawyer::afraid"
"noddy::afraid";"sawyer::mean"
"noddy::mean";"sawyer::afraid"
"noddy::mean";"sawyer::mean"
"sawyer::afraid";"sawyer::mean"
"gunter::devoted";"noddy::devoted"
"arabella::depressed";"ben_allen::depressed"
"arabella::depressed";"bob_sawyer::depressed"
"arabella::depressed";"winkle::depressed"
"ben_allen::depressed";"bob_sawyer::depressed"
"ben_allen::depressed";"winkle::depressed"
"bob_sawyer::depressed";"winkle::depressed"
"bob_sawyer::alone";"raddle::alone"
"bardell::busy";"bardell::well"
"bardell::busy";"george::busy"
"bardell::busy";"george::well"
"bardell::busy";"perker::busy"
"bardell::busy";"perker::well"
"bardell::busy";"samuel_weller::busy"
"bardell::busy";"samuel_weller::well"
"bardell::busy";"weller::busy"
"bardell::busy";"weller::well"
"bardell::well";"george::busy"
"bardell::well";"george::well"
"bardell::well";"perker::busy"
"bardell::well";"perker::well"
"bardell::well";"samuel_weller::busy"
"bardell::well";"samuel_weller::well"
"bardell::well";"weller::busy"
"bardell::well";"weller::well"
"george::busy";"george::well"
"george::busy";"perker::busy"
"george::busy";"perker::well"
"george::busy";"samuel_weller::busy"
"george::busy";"samuel_weller::well"
"george::busy";"weller::busy"
"george::busy";"weller::well"
"george::well";"perker::busy"
"george::well";"perker::well"
"george::well";"samuel_weller::busy"
"george::well";"samuel_weller::well"
"george::well";"weller::busy"
"george::well";"weller::well"
"perker::busy";"perker::well"
"perker::busy";"samuel_weller::busy"
"perker::busy";"samuel_weller::well"
"perker::busy";"weller::busy"
"perker::busy";"weller::well"
"perker::well";"samuel_weller::busy"
"perker::well";"samuel_weller::well"
"perker::well";"weller::busy"
"perker::well";"weller::well"
"samuel_weller::busy";"samuel_weller::well"
"samuel_weller::busy";"weller::busy"
"samuel_weller::busy";"weller::well"
"samuel_weller::well";"weller::busy"
"samuel_weller::well";"weller::well"
"weller::busy";"weller::well"
"george::young";"sam::young"
"george::young";"weller::young"
"sam::young";"weller::young"
"sam_weller::little";"sam_weller::young"
"sam::young";"sammy::young"
"sam::old";"sam::pretty"
"sam::old";"sam::tough"
"sam::old";"sammy::pretty"
"sam::old";"sammy::tough"
"sam::old";"weller::pretty"
"sam::old";"weller::tough"
"sam::pretty";"sam::tough"
"sam::pretty";"sammy::old"
"sam::pretty";"sammy::pretty"
"sam::pretty";"sammy::tough"
"sam::pretty";"weller::old"
"sam::pretty";"weller::tough"
"sam::tough";"sammy::old"
"sam::tough";"sammy::pretty"
"sam::tough";"sammy::tough"
"sam::tough";"weller::old"
"sam::tough";"weller::pretty"
"sam::tough";"weller::tough"
"sammy::old";"sammy::pretty"
"sammy::old";"sammy::tough"
"sammy::old";"weller::pretty"
"sammy::old";"weller::tough"
"sammy::pretty";"sammy::tough"
"sammy::pretty";"weller::old"
"sammy::pretty";"weller::pretty"
"sammy::pretty";"weller::tough"
"sammy::tough";"weller::old"
"sammy::tough";"weller::pretty"
"sammy::tough";"weller::tough"
"weller::old";"weller::pretty"
"weller::old";"weller::tough"
"weller::pretty";"weller::tough"
"sammy::#-good";"weller::#-good"
"sam::good";"sam::young"
"sam::good";"sammy::good"
"sam::good";"sammy::young"
"sam::young";"sammy::good"
"sammy::good";"sammy::young"
"sam::respectable";"weller::respectable"
"weller::important";"weller::open"
"bailey::firm";"pickwick::firm"
"bailey::firm";"weller::firm"
"pickwick::firm";"weller::firm"
"sam::great";"sammy::great"
"sammy::great";"weller::great"
"dorkin::little";"sammy::little"
"anthony_humm::enthusiastic";"jonas_mudge::enthusiastic"
"sam::old";"sam::quiet"
"sammy::young";"weller::young"
"weller::great";"weller::little"
"henry_beller::#-certain";"henry_beller::great"
"mordlin::beautiful";"waterman::beautiful"
"humm::old";"stiggins::old"
"sam_weller::great";"sam_weller::little"
"sam_weller::great";"sam_weller::open"
"sam_weller::great";"stiggins::great"
"sam_weller::great";"stiggins::little"
"sam_weller::great";"stiggins::open"
"sam_weller::great";"tadger::great"
"sam_weller::great";"tadger::little"
"sam_weller::great";"tadger::open"
"sam_weller::little";"sam_weller::open"
"sam_weller::little";"stiggins::great"
"sam_weller::little";"stiggins::little"
"sam_weller::little";"stiggins::open"
"sam_weller::little";"tadger::great"
"sam_weller::little";"tadger::little"
"sam_weller::little";"tadger::open"
"sam_weller::open";"stiggins::great"
"sam_weller::open";"stiggins::little"
"sam_weller::open";"stiggins::open"
"sam_weller::open";"tadger::great"
"sam_weller::open";"tadger::little"
"sam_weller::open";"tadger::open"
"stiggins::great";"stiggins::little"
"stiggins::great";"stiggins::open"
"stiggins::great";"tadger::great"
"stiggins::great";"tadger::little"
"stiggins::great";"tadger::open"
"stiggins::little";"stiggins::open"
"stiggins::little";"tadger::great"
"stiggins::little";"tadger::little"
"stiggins::little";"tadger::open"
"stiggins::open";"tadger::great"
"stiggins::open";"tadger::little"
"stiggins::open";"tadger::open"
"tadger::great";"tadger::little"
"tadger::great";"tadger::open"
"tadger::little";"tadger::open"
"serjeant_snubbin::fat";"serjeant_snubbin::fine"
"serjeant_snubbin::fat";"serjeant_snubbin::friendly"
"serjeant_snubbin::fine";"serjeant_snubbin::friendly"
"justice_stareleigh::big";"justice_stareleigh::little"
"perker::good";"pickwick::good"
"pickwick::violent";"serjeant_buzfuz::violent"
"pickwick::decent";"serjeant_buzfuz::decent"
"bardell::little";"bardell::remarkable"
"justice_stareleigh::beautiful";"serjeant_buzfuz::beautiful"
"bardell::little";"cluppins::little"
"pickwick::awful";"serjeant_snubbin::awful"
"skimpin::great";"skimpin::natural"
"skimpin::great";"winkle::great"
"skimpin::great";"winkle::natural"
"skimpin::natural";"winkle::great"
"skimpin::natural";"winkle::natural"
"winkle::great";"winkle::natural"
"skimpin::short";"winkle::short"
"pickwick::little";"winkle::little"
"skimpin::expressive";"winkle::expressive"
"bardell::good";"bardell::natural"
"bardell::good";"pickwick::natural"
"bardell::good";"winkle::good"
"bardell::good";"winkle::natural"
"bardell::natural";"pickwick::good"
"bardell::natural";"pickwick::natural"
"bardell::natural";"winkle::good"
"bardell::natural";"winkle::natural"
"pickwick::good";"pickwick::natural"
"pickwick::good";"winkle::natural"
"pickwick::natural";"winkle::good"
"pickwick::natural";"winkle::natural"
"winkle::good";"winkle::natural"
"phunky::important";"winkle::important"
"phunky::young";"pickwick::young"
"phunky::young";"winkle::young"
"phunky::well";"serjeant_buzfuz::well"
"phunky::well";"serjeant_snubbin::well"
"phunky::well";"winkle::well"
"serjeant_buzfuz::well";"serjeant_snubbin::well"
"serjeant_buzfuz::well";"winkle::well"
"serjeant_snubbin::well";"winkle::well"
"phunky::great";"serjeant_buzfuz::great"
"phunky::great";"serjeant_snubbin::great"
"phunky::great";"winkle::great"
"serjeant_buzfuz::great";"serjeant_snubbin::great"
"serjeant_buzfuz::great";"winkle::great"
"serjeant_snubbin::great";"winkle::great"
"george_nupkins::little";"pickwick::little"
"george_nupkins::little";"serjeant_snubbin::little"
"george_nupkins::little";"winkle::little"
"pickwick::little";"serjeant_snubbin::little"
"serjeant_snubbin::little";"winkle::little"
"augustus_snodgrass::unhappy";"tracy_tupman::unhappy"
"bardell::little";"bunkin::little"
"bardell::little";"mudberry::little"
"bunkin::little";"mudberry::little"
"sam::calm";"serjeant_buzfuz::calm"
"serjeant_buzfuz::mean";"weller::mean"
"sam::frightening";"serjeant_buzfuz::frightening"
"sam::frightening";"weller::frightening"
"serjeant_buzfuz::frightening";"weller::frightening"
"sam::short";"weller::short"
"serjeant_buzfuz::little";"weller::little"
"dodson::little";"pickwick::little"
"dodson::little";"sam::little"
"pickwick::independent";"serjeant_snubbin::independent"
"bardell::worthy";"cluppins::worthy"
"bardell::worthy";"pickwick::worthy"
"cluppins::worthy";"pickwick::worthy"
"perker::great";"pickwick::great"
"pickwick::gentle";"sam::gentle"
"sam::gentle";"weller::gentle"
"perker::little";"sam::little"
"george::employed";"george::pretty"
"george::employed";"sam_weller::employed"
"george::employed";"sam_weller::pretty"
"george::pretty";"sam_weller::employed"
"george::pretty";"sam_weller::pretty"
"sam_weller::employed";"sam_weller::pretty"
"dowler::bright";"dowler::open"
"dowler::bright";"dowler::pretty"
"dowler::open";"dowler::pretty"
"dowler::remarkable";"dowler::wonderful"
"dowler::agreeable";"dowler::fascinating"
"dowler::agreeable";"dowler::great"
"dowler::agreeable";"pickwick::agreeable"
"dowler::agreeable";"pickwick::fascinating"
"dowler::agreeable";"pickwick::great"
"dowler::agreeable";"winkle::agreeable"
"dowler::agreeable";"winkle::fascinating"
"dowler::agreeable";"winkle::great"
"dowler::fascinating";"dowler::great"
"dowler::fascinating";"pickwick::agreeable"
"dowler::fascinating";"pickwick::fascinating"
"dowler::fascinating";"pickwick::great"
"dowler::fascinating";"winkle::agreeable"
"dowler::fascinating";"winkle::fascinating"
"dowler::fascinating";"winkle::great"
"dowler::great";"pickwick::agreeable"
"dowler::great";"pickwick::fascinating"
"dowler::great";"pickwick::great"
"dowler::great";"winkle::agreeable"
"dowler::great";"winkle::fascinating"
"dowler::great";"winkle::great"
"pickwick::agreeable";"pickwick::fascinating"
"pickwick::agreeable";"pickwick::great"
"pickwick::agreeable";"winkle::agreeable"
"pickwick::agreeable";"winkle::fascinating"
"pickwick::agreeable";"winkle::great"
"pickwick::fascinating";"pickwick::great"
"pickwick::fascinating";"winkle::agreeable"
"pickwick::fascinating";"winkle::fascinating"
"pickwick::fascinating";"winkle::great"
"pickwick::great";"winkle::agreeable"
"pickwick::great";"winkle::fascinating"
"winkle::agreeable";"winkle::fascinating"
"winkle::agreeable";"winkle::great"
"winkle::fascinating";"winkle::great"
"dowler::good";"pickwick::good"
"dowler::good";"winkle::good"
"dowler::private";"pickwick::private"
"bantam::gorgeous";"bantam::old"
"bantam::gorgeous";"sam_weller::gorgeous"
"bantam::gorgeous";"sam_weller::old"
"bantam::old";"sam_weller::gorgeous"
"bantam::old";"sam_weller::old"
"sam_weller::gorgeous";"sam_weller::old"
"sam::old";"wery::old"
"bantam::short";"bantam::young"
"bantam::short";"crushton::short"
"bantam::short";"crushton::young"
"bantam::short";"mutanhed::short"
"bantam::short";"mutanhed::young"
"bantam::short";"pickwick::short"
"bantam::short";"pickwick::young"
"bantam::young";"crushton::short"
"bantam::young";"crushton::young"
"bantam::young";"mutanhed::short"
"bantam::young";"mutanhed::young"
"bantam::young";"pickwick::short"
"bantam::young";"pickwick::young"
"crushton::short";"crushton::young"
"crushton::short";"mutanhed::short"
"crushton::short";"mutanhed::young"
"crushton::short";"pickwick::short"
"crushton::short";"pickwick::young"
"crushton::young";"mutanhed::short"
"crushton::young";"mutanhed::young"
"crushton::young";"pickwick::short"
"crushton::young";"pickwick::young"
"mutanhed::short";"mutanhed::young"
"mutanhed::short";"pickwick::short"
"mutanhed::short";"pickwick::young"
"mutanhed::young";"pickwick::short"
"mutanhed::young";"pickwick::young"
"pickwick::short";"pickwick::young"
"bantam::good";"bantam::nice"
"angelo_bantam::great";"matinter::great"
"colonel_wugsby::great";"crushton::great"
"colonel_wugsby::great";"mutanhed::great"
"crushton::great";"mutanhed::great"
"lud_hudibras::#-tall";"lud_hudibras::good"
"lud_hudibras::#-tall";"lud_hudibras::remarkable"
"lud_hudibras::good";"lud_hudibras::remarkable"
"lud::fine";"lud::young"
"winkle::confused";"winkle::good"
"winkle::#-certain";"winkle::open"
"dowler::forward";"winkle::forward"
"dowler::open";"dowler::rushed"
"dowler::great";"dowler::quiet"
"dowler::great";"pickwick::quiet"
"dowler::great";"winkle::quiet"
"dowler::quiet";"pickwick::great"
"dowler::quiet";"pickwick::quiet"
"dowler::quiet";"winkle::great"
"dowler::quiet";"winkle::quiet"
"pickwick::great";"pickwick::quiet"
"pickwick::great";"winkle::quiet"
"pickwick::quiet";"winkle::great"
"pickwick::quiet";"winkle::quiet"
"winkle::great";"winkle::quiet"
"craddock::capable";"sam::capable"
"craddock::capable";"weller::capable"
"craddock::capable";"wery::capable"
"sam::capable";"weller::capable"
"sam::capable";"wery::capable"
"weller::capable";"wery::capable"
"john_smauker::little";"john_smauker::short"
"john_smauker::little";"sam_weller::little"
"john_smauker::little";"sam_weller::short"
"john_smauker::short";"sam_weller::little"
"john_smauker::short";"sam_weller::short"
"sam_weller::little";"sam_weller::short"
"john_smauker::afraid";"john_smauker::bad"
"john_smauker::afraid";"weller::afraid"
"john_smauker::afraid";"weller::bad"
"john_smauker::bad";"weller::afraid"
"john_smauker::bad";"weller::bad"
"weller::afraid";"weller::bad"
"john_smauker::bad";"sam::bad"
"sam::bad";"weller::bad"
"john_smauker::strong";"john_smauker::warm"
"john_smauker::strong";"sam::strong"
"john_smauker::strong";"sam::warm"
"john_smauker::strong";"weller::strong"
"john_smauker::strong";"weller::warm"
"john_smauker::warm";"sam::strong"
"john_smauker::warm";"sam::warm"
"john_smauker::warm";"weller::strong"
"john_smauker::warm";"weller::warm"
"sam::strong";"sam::warm"
"sam::strong";"weller::strong"
"sam::strong";"weller::warm"
"sam::warm";"weller::strong"
"sam::warm";"weller::warm"
"weller::strong";"weller::warm"
"john_smauker::great";"sam_weller::great"
"john_smauker::good";"sam::good"
"john_smauker::good";"weller::good"
"john_smauker::cruel";"john_smauker::hard"
"john_smauker::cruel";"sam::cruel"
"john_smauker::cruel";"sam::hard"
"john_smauker::hard";"sam::cruel"
"john_smauker::hard";"sam::hard"
"sam::cruel";"sam::hard"
"tuckle::familiar";"weller::familiar"
"sam::#-cold";"weller::#-cold"
"harris::#-mean";"harris::impressive"
"harris::#-mean";"tuckle::#-mean"
"harris::#-mean";"tuckle::impressive"
"harris::impressive";"tuckle::#-mean"
"harris::impressive";"tuckle::impressive"
"tuckle::#-mean";"tuckle::impressive"
"tuckle::little";"tuckle::poor"
"tuckle::important";"tuckle::open"
"sam::good";"sam::lucky"
"weller::#-troubled";"weller::good"
"whiffers::cold";"whiffers::disgusting"
"whiffers::good";"whiffers::trusted"
"sam::open";"tuckle::open"
"dowler::great";"sam::great"
"pickwick::excited";"pickwick::extraordinary"
"pickwick::excited";"pickwick::proper"
"pickwick::excited";"sam::excited"
"pickwick::excited";"sam::extraordinary"
"pickwick::excited";"sam::proper"
"pickwick::extraordinary";"pickwick::proper"
"pickwick::extraordinary";"sam::excited"
"pickwick::extraordinary";"sam::proper"
"pickwick::proper";"sam::excited"
"pickwick::proper";"sam::extraordinary"
"pickwick::proper";"sam::proper"
"sam::excited";"sam::extraordinary"
"sam::excited";"sam::proper"
"sam::extraordinary";"sam::proper"
"winkle::appreciated";"winkle::considerate"
"winkle::appreciated";"winkle::excellent"
"winkle::considerate";"winkle::excellent"
"dowler::dependent";"winkle::dependent"
"esquire::private";"esquire::remarkable"
"esquire::private";"robert_sawyer::private"
"esquire::private";"robert_sawyer::remarkable"
"esquire::remarkable";"robert_sawyer::private"
"esquire::remarkable";"robert_sawyer::remarkable"
"robert_sawyer::private";"robert_sawyer::remarkable"
"benjamin_allen::amusing";"benjamin_allen::boring"
"benjamin_allen::amusing";"benjamin_allen::little"
"benjamin_allen::amusing";"bob_sawyer::amusing"
"benjamin_allen::amusing";"bob_sawyer::boring"
"benjamin_allen::amusing";"bob_sawyer::little"
"benjamin_allen::amusing";"winkle::amusing"
"benjamin_allen::amusing";"winkle::boring"
"benjamin_allen::amusing";"winkle::little"
"benjamin_allen::boring";"benjamin_allen::little"
"benjamin_allen::boring";"bob_sawyer::amusing"
"benjamin_allen::boring";"bob_sawyer::boring"
"benjamin_allen::boring";"bob_sawyer::little"
"benjamin_allen::boring";"winkle::amusing"
"benjamin_allen::boring";"winkle::boring"
"benjamin_allen::boring";"winkle::little"
"benjamin_allen::little";"bob_sawyer::amusing"
"benjamin_allen::little";"bob_sawyer::boring"
"benjamin_allen::little";"bob_sawyer::little"
"benjamin_allen::little";"winkle::amusing"
"benjamin_allen::little";"winkle::boring"
"benjamin_allen::little";"winkle::little"
"bob_sawyer::amusing";"bob_sawyer::boring"
"bob_sawyer::amusing";"bob_sawyer::little"
"bob_sawyer::amusing";"winkle::amusing"
