"" "accomplished" "active" "affectionate" "afraid" "agreeable" "alone" "ambitious" "amusing" "angry" "anxious" "artificial" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "blind" "bold" "brave" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "caring" "cautious" "certain" "charming" "cheap" "cheerful" "clever" "clumsy" "cold" "comfortable" "compassionate" "compatible" "conceited" "concerned" "confident" "confused" "consistent" "cool" "courteous" "critical" "cruel" "curious" "dangerous" "daring" "decent" "delighted" "delightful" "dependent" "desirable" "determined" "devoted" "difficult" "direct" "disabled" "disappointed" "disgusting" "disrespectful" "distinguished" "disturbed" "eager" "educated" "embarrassed" "employed" "encouraged" "encouraging" "entertaining" "evil" "excellent" "excited" "experienced" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fat" "fine" "firm" "foolish" "fortunate" "forward" "friendly" "generous" "gentle" "gifted" "giving" "glad" "good" "good-looking" "good-natured" "graceful" "grateful" "great" "handsome" "happy" "hard" "healthy" "helpless" "honest" "ignorant" "impatient" "important" "indecisive" "independent" "intelligent" "interested" "interesting" "involved" "irrational" "irritable" "jealous" "kind" "kind-hearted" "laughing" "liberal" "little" "lively" "lovely" "loving" "lucky" "mature" "mean" "modest" "natural" "neat" "negative" "neglected" "nervous" "nice" "noisy" "observant" "offensive" "old" "old-fashioned" "open" "original" "pathetic" "patient" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "popular" "positive" "powerful" "pretty" "private" "prompt" "proper" "prosperous" "proud" "quiet" "reasonable" "religious" "remarkable" "respectable" "respected" "responsible" "rich" "romantic" "rough" "rushed" "sad" "satisfied" "secure" "selfish" "sensible" "sentimental" "serious" "short" "shy" "sincere" "slender" "social" "spoiled" "spontaneous" "strange" "strict" "strong" "stupid" "successful" "surprised" "suspicious" "sweet" "sympathetic" "tall" "thankful" "thin" "thinking" "thorough" "thoughtful" "thoughtless" "tired" "trusted" "trusting" "uncomfortable" "understanding" "unemployed" "unhappy" "unlucky" "unreasonable" "unusual" "upset" "useful" "valuable" "violent" "warm" "weak" "wealthy" "well" "wise" "wonderful" "worthy" "young" "smart" "well-known" "youthful"
"expressive" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"extraordinary" 0 0 0 1 5 3 0 0 0 1 0 0 1 0 0 0 0 4 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 2 1 0 1 1 0 0 1 0 0 0 0 0 0 3 0 0 1 3 2 2 0 0 0 1 0 0 0 0 2 0 0 1 2 1 0 2 0 0 2 8 0 0 0 0 6 3 6 1 0 1 0 0 0 0 0 0 1 1 2 1 0 0 1 2 0 0 1 10 0 1 0 1 0 3 0 0 1 0 0 0 0 1 0 1 5 0 4 0 1 1 1 0 1 0 1 1 5 0 0 0 3 0 0 1 0 0 0 1 0 0 0 1 1 2 0 0 0 0 0 0 0 2 0 0 4 0 0 0 1 0 0 0 0 5 1 0 3 0 2 0 1 1 0 3 0 0 0 0 0 0 1 3 1 2 0 0 0 0 1 2 1 3 0 1 8 1 0 0 3 1 0 0
"fair" 0 0 1 3 3 2 1 0 1 1 1 1 1 0 0 1 0 4 0 0 0 1 1 1 0 0 1 1 2 1 1 3 0 1 0 1 0 0 2 0 0 1 0 1 0 0 2 0 1 0 1 1 0 2 2 1 1 0 4 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 3 4 0 0 0 1 0 0 0 1 1 4 0 0 0 1 0 0 3 0 3 5 9 0 1 1 0 7 3 6 1 0 0 0 0 1 0 0 0 0 1 2 1 0 0 1 4 0 1 1 11 1 1 0 2 0 3 0 2 0 1 0 1 1 0 0 0 7 0 2 0 0 0 1 0 2 3 1 0 1 0 0 2 5 2 0 3 0 0 2 0 0 0 1 0 0 1 0 0 0 1 4 2 1 3 0 2 6 0 1 1 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 0 8 1 0 0 8 0 0 1
"faithful" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0
"familiar" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"famous" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"fat" 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"fine" 2 2 2 4 5 7 0 1 0 6 1 4 0 1 0 2 1 7 4 0 0 0 0 1 0 1 2 1 1 0 1 1 2 1 3 3 0 1 3 0 0 1 3 1 1 1 1 1 0 0 1 2 0 5 6 0 1 3 6 0 1 0 0 2 0 0 2 0 2 1 1 2 1 1 0 3 7 3 1 0 2 4 0 0 0 0 0 0 0 0 7 1 0 2 0 5 7 20 0 0 0 1 14 3 12 0 1 1 0 0 1 0 0 0 1 0 3 1 1 0 0 5 1 2 0 21 3 1 0 1 1 6 1 3 1 1 1 0 4 0 3 0 6 0 1 0 1 0 4 0 2 5 2 1 10 1 1 1 7 1 0 3 0 2 2 2 0 2 4 0 0 2 0 0 0 0 3 1 1 4 1 0 8 1 0 0 0 0 1 2 3 6 1 0 2 2 1 0 0 2 1 8 0 0 1 0 0 0 0 8 0 2 1 1 0 2 3 0 1 2 1 0 15 1 1 2 14 0 0 1
"firm" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"foolish" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0
"fortunate" 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0
"forward" 1 0 1 2 4 5 0 0 2 4 1 3 1 0 0 0 0 5 2 0 1 0 1 0 2 2 4 0 1 0 0 2 0 1 3 1 0 3 2 1 2 0 3 0 1 0 2 1 0 1 1 2 1 1 5 4 0 0 8 1 0 0 0 2 0 0 3 0 2 0 1 1 1 0 0 4 1 4 1 1 2 1 1 0 0 0 7 1 1 1 0 2 1 2 1 5 4 17 0 1 0 1 14 2 10 0 1 2 0 0 1 2 1 1 1 1 6 2 0 1 0 7 0 1 0 19 2 2 1 0 0 5 2 3 0 0 0 1 1 1 0 0 7 1 1 1 0 2 0 1 5 5 3 0 11 1 1 2 1 1 0 6 0 0 2 0 0 4 1 0 0 0 1 0 0 2 4 1 1 5 0 5 8 0 1 0 0 0 1 3 1 6 0 0 2 0 1 0 1 1 0 4 1 0 1 2 0 0 2 4 0 1 0 0 0 1 4 1 1 6 3 0 13 1 1 2 10 0 1 0
"friendly" 1 0 0 1 2 1 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 3 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 2 1 0 2 1 0 0 1 0 1 0 1 1 0 1 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 1 4 0 0 0 0 4 2 4 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 3 0 0 0 6 0 0 0 0 0 3 1 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 2 1 0 1 3 0 0 0 3 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0 3 0 2 0 1 0 0 0 0 2 0 1 2 0 1 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 6 0 0 0 3 0 0 0
"generous" 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"gentle" 0 1 0 1 3 3 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 1 0 2 0 2 0 0 0 0 0 2 1 0 0 1 1 0 0 0 3 2 0 0 0 2 3 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 5 1 0 0 0 5 0 4 0 0 1 1 0 0 0 0 1 0 0 3 3 0 0 0 1 0 0 0 7 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 4 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 2 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 2 1 1 0 1 4 0 0 0 0 0 1 0 1 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 0 1 1 0 3 1 0 4 2 0 0 2 0 0 0
"gifted" 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0
"giving" 0 0 1 2 4 5 0 0 2 1 2 2 1 0 1 1 0 9 1 0 0 0 0 0 2 2 0 0 1 0 1 1 1 0 1 0 0 2 3 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 5 2 0 0 7 1 0 0 0 0 0 0 1 0 2 0 1 0 2 0 0 0 3 1 0 0 0 3 0 0 0 0 5 0 0 0 5 1 1 0 0 0 5 14 0 1 0 0 13 2 7 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 0 4 1 4 0 13 0 0 0 0 0 2 0 4 1 0 1 3 3 0 1 0 4 1 2 0 0 1 1 0 2 5 0 0 4 1 0 1 5 1 0 3 0 1 1 0 0 2 3 0 0 0 0 2 1 1 3 0 0 2 0 1 7 1 0 0 0 0 1 2 0 4 0 0 0 0 2 0 0 0 0 4 2 2 0 2 1 0 1 4 0 1 0 1 0 0 0 0 0 1 0 0 10 0 0 1 9 0 0 1
"glad" 1 3 1 5 8 6 1 2 0 2 2 5 1 1 0 0 0 8 2 1 1 1 2 0 2 0 1 2 1 0 0 3 0 1 2 2 1 3 9 0 0 0 0 0 0 1 1 1 0 0 2 2 1 2 5 0 1 3 8 1 0 1 0 0 1 0 2 0 3 1 0 1 0 0 2 2 9 1 0 0 2 5 0 0 1 2 7 1 0 1 4 1 0 0 1 5 0 22 0 2 1 2 21 4 12 3 0 0 0 0 1 2 1 0 2 3 1 0 0 0 1 7 0 1 1 25 0 1 0 1 0 6 0 3 1 0 1 0 3 0 1 1 10 1 7 1 0 0 2 1 6 5 2 0 9 0 0 0 7 0 0 7 0 1 4 3 1 1 2 1 1 1 0 2 0 1 5 4 1 3 0 6 7 1 1 1 0 0 0 1 3 4 0 0 3 1 2 2 1 1 0 6 0 0 1 2 1 1 1 4 1 2 0 0 0 1 1 2 0 2 1 0 20 1 1 1 12 0 0 0
"good" 1 3 3 9 23 16 1 2 3 12 2 7 4 1 1 2 2 20 5 0 1 1 4 1 3 3 8 5 4 0 4 9 2 0 6 7 1 9 9 0 2 1 4 1 2 2 3 2 1 4 2 7 2 5 10 4 2 9 17 2 2 2 1 4 1 1 4 1 8 2 1 3 3 4 2 11 17 5 1 1 8 9 1 1 1 2 20 1 1 2 17 4 2 5 2 14 22 0 1 2 1 3 52 12 33 6 2 2 1 1 5 5 1 2 2 3 9 5 1 0 4 13 1 4 2 60 5 4 1 3 1 11 2 13 2 1 1 2 7 1 3 1 24 1 16 1 1 2 5 1 11 17 5 2 24 1 1 3 19 5 1 13 2 2 8 3 1 4 5 2 2 8 1 3 0 4 12 5 4 18 1 13 29 2 3 1 1 1 1 3 3 20 1 0 9 3 5 2 3 3 2 21 1 3 0 3 2 1 2 15 1 4 1 1 1 2 7 5 1 11 3 1 46 2 3 4 32 1 1 1
"good-looking" 0 1 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0
"good-natured" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0
"graceful" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"grateful" 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 3 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 2 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 1 0 2 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 3 0 0 0
"great" 1 2 2 7 22 15 1 3 3 10 3 7 4 1 0 2 3 16 3 1 1 1 2 1 4 2 5 3 2 0 3 8 2 0 2 3 1 8 9 0 2 1 2 1 2 2 3 2 1 3 1 7 3 3 10 3 2 6 15 2 2 1 1 4 1 0 3 1 5 2 1 4 3 2 1 8 12 4 0 1 6 7 1 0 1 1 14 1 1 2 14 4 2 5 2 13 21 52 0 2 0 1 0 8 30 4 2 1 1 2 4 4 1 2 2 3 8 5 0 0 3 11 1 4 1 52 4 2 1 1 1 11 2 13 1 1 1 3 5 1 2 1 20 1 14 1 1 2 3 1 10 13 5 3 20 1 1 3 14 3 1 12 0 3 6 3 1 2 3 2 1 5 1 1 1 4 12 6 4 15 1 9 20 1 2 0 1 1 2 2 2 19 1 1 7 3 3 2 3 3 2 16 1 2 0 2 2 1 2 13 1 4 1 1 0 1 4 3 1 9 4 0 44 1 3 2 23 0 1 1
"handsome" 0 1 0 2 7 3 1 0 1 2 1 1 0 0 0 1 2 1 2 0 0 1 1 0 0 0 0 2 0 0 0 4 1 0 1 1 0 1 2 1 0 1 0 0 0 1 1 0 0 0 0 1 0 2 5 1 0 2 1 0 0 2 0 1 0 1 1 0 0 0 1 1 1 1 1 2 4 1 0 0 3 3 0 0 1 1 3 0 0 1 2 2 0 0 1 2 4 12 0 0 1 1 8 0 6 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 4 0 1 1 13 1 2 0 1 0 4 1 3 1 0 1 0 2 0 2 0 6 0 3 0 0 0 2 0 2 3 1 1 6 0 0 0 6 2 0 1 1 0 0 0 0 0 1 1 1 3 0 1 0 1 3 0 0 6 0 1 6 0 2 1 1 0 0 0 0 4 0 0 2 1 1 0 0 0 1 3 0 0 0 0 0 0 0 5 0 2 0 1 0 0 1 0 1 2 1 0 9 0 0 1 8 1 1 1
"happy" 1 1 1 4 17 10 1 1 3 8 1 5 4 1 1 1 1 9 3 0 0 1 4 1 0 1 4 2 3 1 1 4 2 1 4 2 0 5 7 1 1 0 1 1 2 1 3 1 0 1 1 6 1 3 7 2 1 5 15 1 2 0 0 2 0 0 4 0 5 2 1 5 2 1 1 8 8 5 0 1 6 6 0 0 1 2 12 1 1 1 10 4 2 4 1 7 12 33 0 1 1 1 30 6 0 1 1 1 0 1 2 0 1 1 1 1 5 2 0 0 2 12 1 4 1 38 2 4 0 2 1 8 0 8 1 1 1 1 7 1 2 0 15 0 12 1 0 1 2 1 8 8 4 2 14 0 0 3 9 2 1 8 1 2 4 3 0 0 2 1 0 3 1 2 1 1 11 3 3 8 1 6 16 1 2 1 1 1 2 0 2 11 0 1 7 2 2 1 3 2 1 14 0 1 1 4 1 0 1 13 0 3 1 0 0 1 4 2 2 6 2 0 28 1 3 2 16 0 1 0
"hard" 0 0 0 1 3 1 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 3 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 3 6 0 0 0 0 4 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 2 2 0 1 2 6 0 0 0 1 0 2 0 2 1 0 0 0 0 0 0 1 2 0 2 0 0 0 1 0 1 2 0 0 3 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 1 2 0 1 0 1 1 0 0 1 0 2 2 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 4 0 0 0 3 0 0 0
