"" "#-agreeable" "#-fair" "#-good" "#-handsome" "#-reasonable" "#-satisfied" "active" "affectionate" "afraid" "agreeable" "alone" "amazing" "amusing" "angry" "anxious" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "bitter" "bold" "bright" "brilliant" "busy" "calm" "capable" "careless" "certain" "charming" "cheap" "cheerful" "clean" "clever" "cold" "comfortable" "concerned" "confident" "conscientious" "consistent" "cool" "critical" "cruel" "curious" "dangerous" "decent" "delighted" "delightful" "desirable" "determined" "difficult" "direct" "disappointed" "disgusting" "disrespectful" "distinguished" "eager" "embarrassed" "embarrassing" "entertaining" "excellent" "experienced" "extraordinary" "fair" "faithful" "familiar" "famous" "fine" "firm" "foolish" "fortunate" "friendly" "frightening" "furious" "generous" "gentle" "genuine" "glad" "good" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "helpless" "honest" "hopeful" "ignorant" "impatient" "important" "independent" "innocent" "intellectual" "intelligent" "interested" "interesting" "irritable" "irritated" "jealous" "joyful" "kind" "lazy" "liberal" "little" "lively" "lonely" "loud" "lovely" "lucky" "mature" "modest" "natural" "neat" "nice" "noisy" "old" "open" "ordinary" "original" "patient" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "pretty" "private" "productive" "proper" "proud" "punctual" "quiet" "reasonable" "religious" "remarkable" "respectable" "respectful" "rich" "ridiculous" "romantic" "rude" "sad" "satisfied" "secure" "selfish" "sensible" "sentimental" "serious" "shallow" "short" "shy" "sincere" "smart" "social" "stable" "strange" "strict" "strong" "stubborn" "stupid" "successful" "surprised" "sweet" "sympathetic" "tall" "terrific" "thankful" "thin" "thorough" "thoughtless" "tired" "traditional" "uncomfortable" "unfriendly" "ungraceful" "unhappy" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "wealthy" "well" "wise" "wonderful" "worthy" "young" "youthful"
"embarrassing" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"entertaining" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"excellent" 0 0 0 0 0 0 0 0 3 2 0 0 1 0 2 2 0 0 0 0 1 3 1 0 2 0 0 0 0 0 1 2 4 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 3 0 2 0 0 2 0 0 0 1 2 0 0 0 0 4 4 0 0 2 5 1 0 0 0 0 0 0 3 0 1 10 0 0 2 7 0 4 6 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 2 2 0 1 11 1 0 2 0 0 0 0 1 2 0 1 7 4 1 0 1 3 1 1 0 0 1 2 0 3 1 0 1 0 0 2 0 0 2 2 0 2 0 0 0 1 1 0 1 0 0 0 0 4 0 1 2 0 0 2 0 2 1 1 1 1 2 1 0 0 0 2 0 0 3 0 2 0 0 1 0 0 1 0 1 1 0 0 0 1 1 6 0
"experienced" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"extraordinary" 0 0 0 1 1 0 0 0 4 2 2 0 1 1 1 1 0 0 0 1 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 1 1 3 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 4 1 0 0 0 0 0 0 0 0 2 7 1 0 1 5 0 3 2 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 2 0 0 5 1 0 1 0 0 0 0 1 1 0 1 4 3 0 0 0 3 1 0 2 1 0 2 0 1 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 2 0 1 1 0 1 1 1 0 3 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 5 0
"fair" 0 0 1 0 0 1 0 1 2 3 0 0 0 0 5 3 0 0 0 0 0 1 3 0 2 0 0 0 0 0 0 2 4 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 1 0 4 0 0 0 3 2 0 0 4 0 0 0 0 0 0 2 0 0 2 0 0 0 1 3 0 3 6 0 1 1 5 0 3 5 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 0 1 3 1 0 0 9 1 0 0 1 1 0 0 1 1 1 0 5 2 1 0 1 1 0 1 0 2 0 3 0 1 2 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 5 0 1 0 0 0 2 0 1 0 1 1 1 3 1 0 0 0 1 0 0 2 0 2 0 0 0 1 0 0 0 1 1 0 0 2 0 2 6 0
"faithful" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 2 1 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 2 3 0 1 0 3 0 0 2 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 3 1 1 0 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0
"familiar" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"famous" 0 0 0 0 0 0 1 0 2 3 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 6 0 0 1 5 0 0 3 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 5 0 0 2 0 0 0 0 1 0 0 0 4 1 0 0 0 1 1 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0
"fine" 0 0 0 0 0 1 1 2 5 4 5 0 1 4 7 5 0 0 2 2 1 4 7 1 0 4 0 0 0 3 0 4 4 0 1 1 2 0 4 2 1 0 1 0 1 1 0 0 1 1 5 1 1 2 0 2 0 1 1 4 1 0 0 5 0 4 2 1 0 2 0 1 2 1 1 0 0 2 3 1 7 18 0 0 0 16 1 7 11 1 1 0 0 1 2 2 2 0 0 0 1 0 2 0 0 1 1 1 0 0 17 0 0 2 0 2 1 1 2 2 0 1 11 5 1 0 1 2 0 6 2 1 0 6 3 7 1 0 0 0 0 4 2 0 6 1 0 4 0 0 1 1 2 1 0 4 0 1 0 9 0 0 3 0 1 3 0 1 1 2 0 6 2 1 0 1 0 1 0 0 3 0 1 0 0 1 0 0 2 1 1 4 0 2 1 1 1 14 0
"firm" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"foolish" 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 2 0 0 1 0 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 1 2 4 0 0 0 3 0 0 3 1 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 4 1 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 1 0 0 0 2 0 0 1 1 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 2 0
"fortunate" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 1 0 1 1 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 3 0
"friendly" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 2 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"frightening" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"furious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"generous" 1 0 0 0 0 0 1 0 1 1 1 0 0 1 2 2 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 2 0 0 2 0 0 0 0 0 0 1 3 0 0 0 3 0 0 3 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 1 1 0 4 0 0 1 1 0 0 0 2 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 4 0
"gentle" 0 0 0 0 0 1 0 0 1 2 0 0 0 0 2 2 0 0 0 0 0 2 2 0 1 0 0 1 0 0 1 1 2 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 3 0 0 3 0 0 0 3 0 0 1 0 0 0 0 0 0 1 4 0 0 1 2 0 1 5 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 2 1 0 1 6 2 0 0 0 1 0 0 0 1 0 0 4 1 0 0 1 1 0 0 1 0 0 3 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 5 0 2 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 0 0 1 0 0 0 0 1 5 0
"genuine" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0
"glad" 0 1 1 0 0 1 0 3 5 5 4 2 2 3 3 4 0 0 1 0 0 1 3 0 0 0 1 0 1 0 1 1 3 1 3 1 2 1 3 2 0 0 0 0 1 1 0 0 1 2 4 1 3 1 0 2 0 1 2 3 0 0 1 1 0 2 3 2 0 1 7 1 2 1 0 1 0 1 1 0 0 15 1 2 1 13 0 2 11 1 0 1 3 0 0 1 0 1 0 0 0 1 3 1 0 0 1 4 0 0 17 1 1 2 0 2 0 0 1 0 3 0 9 6 0 0 0 1 0 3 3 1 0 7 3 2 1 1 2 2 1 2 2 0 1 1 0 1 0 1 0 1 2 3 0 5 0 1 0 10 0 1 1 1 0 6 0 2 0 3 0 4 4 0 0 0 0 0 0 0 3 0 2 0 0 1 1 2 0 1 0 2 0 0 1 0 1 14 2
"good" 1 0 0 1 1 1 1 9 13 11 4 1 2 6 7 7 1 1 0 2 1 6 7 1 3 3 1 1 1 4 3 8 10 1 5 2 4 4 5 2 1 0 1 0 0 1 0 1 4 4 17 1 5 2 1 5 1 1 2 9 1 0 0 10 1 7 6 3 1 6 18 1 4 1 2 1 0 3 4 1 15 0 2 1 4 39 0 15 27 3 2 1 5 1 3 3 5 3 0 1 2 3 5 1 1 3 2 9 1 2 40 4 1 4 0 3 1 1 7 2 1 1 18 12 2 1 1 7 1 8 8 5 2 16 4 8 3 1 8 1 1 4 2 0 6 2 1 5 2 1 2 3 8 5 3 6 1 3 1 25 1 3 3 0 1 13 1 9 2 5 1 10 7 0 2 1 1 2 0 0 10 0 6 0 1 4 0 2 3 2 1 6 1 3 1 2 3 33 2
"graceful" 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"gracious" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"grateful" 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 2 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 4 1 0 0 3 0 1 3 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 3 1 0 1 0 0 0 0 0 0 1 0 2 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0
"great" 1 0 1 1 1 0 1 7 11 13 3 1 0 7 10 6 1 1 2 1 1 6 9 1 2 4 1 2 2 4 3 5 8 0 5 2 4 3 7 0 1 1 1 2 1 0 1 1 2 7 16 2 3 2 0 5 0 1 2 4 1 1 0 7 1 5 5 3 0 5 16 0 3 1 2 1 0 3 2 1 13 39 2 1 3 0 1 12 26 3 2 1 4 1 3 4 7 3 1 0 2 4 6 1 1 2 2 6 1 2 40 3 1 3 1 2 1 0 7 3 3 1 17 10 3 1 1 5 1 7 8 3 2 14 4 9 3 1 6 2 1 5 3 1 7 4 1 5 2 1 2 2 4 4 1 3 1 2 0 21 1 2 2 1 0 14 0 7 2 4 0 8 5 1 2 1 1 2 0 0 10 0 2 0 1 2 0 1 3 2 5 4 2 3 3 3 4 31 1
"greedy" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"handsome" 0 0 0 0 0 0 0 2 4 3 1 0 1 1 3 1 1 0 0 2 1 3 2 1 1 2 0 0 0 1 1 1 5 0 2 1 0 1 1 0 1 0 0 0 0 2 1 1 0 1 6 0 3 1 0 2 0 1 0 3 0 0 0 4 0 3 3 0 1 0 7 1 0 0 0 0 0 0 1 0 2 15 1 0 1 12 0 0 8 0 0 0 2 0 0 1 2 0 0 1 0 0 2 0 0 1 0 2 0 1 10 0 0 0 0 0 0 0 1 1 0 1 7 2 2 0 0 3 0 3 0 1 1 1 1 3 0 0 1 0 0 0 0 0 3 1 0 1 0 0 0 0 3 1 0 0 0 0 0 7 0 0 3 0 1 2 1 3 1 1 0 4 1 0 1 0 1 2 0 0 5 0 2 0 1 0 0 0 1 2 2 1 0 0 1 1 1 11 0
"happy" 1 0 0 0 0 1 0 6 4 6 3 1 1 3 6 6 1 1 2 0 0 4 6 0 2 1 1 3 1 2 2 6 7 0 5 0 3 1 5 2 0 1 1 1 1 2 0 1 2 4 10 1 2 1 0 4 0 1 1 7 2 0 0 6 0 2 5 2 1 3 11 1 3 2 2 1 0 3 5 1 11 27 0 1 3 26 0 8 0 2 2 1 5 1 2 3 3 4 0 1 1 1 2 1 1 1 3 4 1 0 27 2 1 4 0 3 1 0 7 1 1 0 9 8 1 1 2 2 1 3 3 3 2 10 4 5 4 1 4 1 1 6 3 0 5 1 1 3 1 1 1 2 3 3 2 4 0 2 0 17 1 3 1 0 0 6 1 4 1 2 1 4 3 1 1 1 1 1 0 0 6 0 1 0 0 2 0 1 2 2 1 3 1 1 1 0 4 19 1
"hard" 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 1 1 3 1 0 0 3 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0
"harmless" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0
"helpless" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"honest" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 1 0 2 0 3 0 1 1 2 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 1 0 0 2 0 3 5 0 1 1 4 0 2 5 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 2 0 1 7 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 2 0 0 0 3 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 2 2 0 1 0 0 0 3 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0
